y_true,y_pred,proba_High,proba_Low,proba_Medium
Low,Low,5.173933760990798e-06,0.9985091318353692,0.0014856942308699326
Low,Low,1.6459708197182527e-05,0.9918383578997018,0.008145182392101031
High,High,0.9999740144690685,4.934570226222779e-07,2.5492073909004953e-05
High,High,0.9931430741971407,3.131357749014531e-05,0.006825612225369242
High,High,0.9965064408872754,4.781825431838462e-05,0.003445740858406218
High,High,0.9984519124317363,1.2999637700193966e-05,0.0015350879305635328
High,High,0.9544191388521066,0.00015111237627280085,0.04542974877162067
High,High,0.7873385046629179,0.002606566831049005,0.21005492850603313
Low,Medium,0.041413191066404696,0.07391039022146056,0.8846764187121346
Low,Low,1.1794021681060057e-06,0.9996282464097316,0.0003705741881003924
High,High,0.6578977203851962,0.0032873073413800706,0.33881497227342366
High,High,0.9795293208874062,9.83672226223882e-05,0.020372311889971288
High,High,0.9980064858543677,2.91187302399209e-06,0.001990602272608485
High,High,0.9963422952975887,3.526226051216642e-05,0.0036224424418993093
High,High,0.9925464742203873,2.583121394926153e-05,0.0074276945656634764
High,High,0.9987203730466429,5.006785178118846e-06,0.0012746201681788831
Medium,Low,0.001963846383982809,0.6256722694932192,0.372363884122798
High,High,0.9857089489851456,6.353284470128297e-05,0.014227518170153134
Medium,Medium,0.14034859217260182,0.026870456811629088,0.8327809510157691
High,High,0.9070556183103129,0.0004412715686953311,0.09250311012099187
High,High,0.999585100170011,2.731449888274962e-06,0.0004121683801006676
High,High,0.6586676810582831,0.004233558345089271,0.33709876059662763
Medium,Medium,0.012231811382705605,0.3169023477310596,0.6708658408862348
High,High,0.9476782504826265,0.0007407227097694131,0.05158102680760404
Low,Low,3.9604230641487644e-06,0.9987241076909725,0.0012719318859633075
High,High,0.970266851603989,9.365764715659222e-05,0.029639490748854323
High,High,0.9952161243197462,1.582510862174192e-05,0.004768050571631936
High,High,0.9886550507976526,4.240504895177781e-05,0.011302544153395603
Low,Low,7.468907414591657e-05,0.9844776841632102,0.015447626762643872
High,High,0.9988793153784888,7.005870352582014e-06,0.0011136787511584634
Low,Low,0.0038053670292936144,0.6980120650154742,0.2981825679552322
High,High,0.9997069814572995,1.2768137353953903e-06,0.00029174172896513146
Medium,Medium,0.2407626429231523,0.009925452013262436,0.7493119050635852
High,High,0.992483865563961,5.3462947816627034e-05,0.007462671488222477
Medium,Medium,0.032364762625415176,0.1803541410154195,0.7872810963591653
Low,Low,0.0011583282995712614,0.7806788610670772,0.21816281063335144
High,Medium,0.3802740437754617,0.0093212393705158,0.6104047168540225
High,High,0.991086792012416,5.437575622429378e-05,0.008858832231359815
Medium,Medium,0.03859473391729719,0.08376913115109945,0.8776361349316034
High,High,0.9993249656962123,5.266708241201923e-06,0.0006697675955464761
High,High,0.9982458898079292,2.102382868157836e-05,0.0017330863633892603
High,High,0.9998990727237719,8.775836557936353e-07,0.00010004969257239495
High,High,0.9994426351591426,5.733611128543548e-06,0.000551631229728883
Medium,Medium,0.053368616866128656,0.07914142397281582,0.8674899591610554
High,High,0.9462782794652101,0.0005294017414940656,0.05319231879329573
Medium,Medium,0.019736616829515944,0.1019001624907658,0.8783632206797183
High,High,0.9999129450579879,1.1174137825397045e-06,8.593752822946709e-05
Low,Low,3.8341159744031856e-05,0.9883781051104696,0.011583553729786126
High,High,0.9995279951258923,4.552428662209484e-06,0.0004674524454455553
High,High,0.9535966310695911,0.00017039793032348898,0.046232971000085395
High,High,0.9987832388400506,7.92464979027181e-06,0.0012088365101590635
High,High,0.9849689479131185,0.00014675389925300266,0.014884298187628505
Low,Low,3.856440349588019e-05,0.9778612011154806,0.022100234481023634
High,High,0.9796472017988255,4.142779602263379e-05,0.020311370405151866
High,High,0.9977288067483688,7.720156426272122e-06,0.002263473095204828
High,High,0.9967441690442613,1.145380503932476e-05,0.003244377150699306
Low,Low,0.000643584474709326,0.9176276058253713,0.08172880969991926
Low,Low,2.1722990147736188e-05,0.9954467913285783,0.00453148568127398
High,High,0.9986543961142212,6.512759813762957e-06,0.0013390911259648407
High,High,0.8946570126137914,0.0009158367087355071,0.10442715067747306
High,High,0.9921329562341897,4.601417276061313e-05,0.007821029593049696
High,High,0.9275279990124052,0.0004269540028881535,0.07204504698470648
Medium,Medium,0.4095714991806649,0.0035599297751077036,0.5868685710442274
Medium,Medium,0.004991279885391061,0.4865601867481289,0.50844853336648
Medium,Medium,0.3060330004595732,0.015126163295842623,0.6788408362445841
Medium,Medium,0.3421824582914839,0.008881633450167214,0.6489359082583489
High,High,0.8254196460252596,0.0015048889865275923,0.17307546498821277
High,High,0.9273100946456901,0.0005075304246615173,0.07218237492964848
High,High,0.9999063769321955,1.2713094416618068e-06,9.235175836267143e-05
Medium,Medium,0.18852239887424269,0.031370360384178134,0.7801072407415792
High,High,0.9999419206163415,6.909075526312969e-07,5.738847610588966e-05
High,High,0.9868753365599064,7.279039331620561e-05,0.013051873046777426
High,Medium,0.29803595601778426,0.018704424424647717,0.6832596195575681
High,High,0.9923355176680947,6.337672293853348e-05,0.007601105608966862
Medium,Medium,0.026130855632656196,0.09340240713032393,0.8804667372370198
High,High,0.9939666885541181,3.791370533980314e-05,0.0059953977405420725
Low,Low,0.0004151140163589026,0.9638503077290582,0.03573457825458285
High,High,0.5588533095691705,0.007468744326350453,0.4336779461044791
High,High,0.9987542404050955,6.746609033300823e-06,0.0012390129858709936
Medium,High,0.9872926549594171,0.0001273326506799374,0.012580012389903162
High,High,0.9994831841087154,3.22734189216974e-06,0.0005135885493924657
Low,Low,8.804962976661908e-06,0.9982938945746126,0.0016973004624107944
High,High,0.9983135746604599,9.439373599216983e-06,0.0016769859659408876
High,Medium,0.024813473854625043,0.07649612742289877,0.8986903987224762
High,High,0.9998408417308439,1.4768735272521113e-06,0.0001576813956290684
Medium,Medium,0.014699205515993049,0.17719670126013634,0.8081040932238706
High,High,0.9749794500365513,9.909769138587568e-05,0.02492145227206296
High,High,0.9948495827166143,2.2547668570398295e-05,0.005127869614815255
Medium,High,0.7402421508982054,0.0013866410341589952,0.25837120806763547
High,High,0.9850838177810556,0.00014253639527406022,0.014773645823670271
Medium,Medium,0.3683481047909607,0.00908669895460021,0.6225651962544392
Low,Low,0.0002514300046811026,0.9342824132384072,0.06546615675691163
Medium,High,0.976840464225157,9.81093544608969e-05,0.023061426420382128
High,Medium,0.366314394076615,0.01741013958666244,0.6162754663367226
High,High,0.999801431498916,1.3636993383765139e-06,0.0001972048017457212
Low,Medium,0.018225280083914594,0.2449339818580385,0.736840738058047
Low,Low,0.00012378244322031084,0.956756919674853,0.043119297881926776
High,High,0.9997198902894687,1.989405647890657e-06,0.00027812030488330006
High,High,0.9928480444774435,1.978138210743743e-05,0.007132174140449239
High,High,0.801080495590727,0.002231878925597416,0.19668762548367563
Medium,Medium,0.17000342773808808,0.036241538158081454,0.7937550341038305
High,High,0.9983419494452846,7.812732345929838e-06,0.0016502378223694106
Low,Low,0.002130070869784184,0.7177080151861958,0.28016191394402007
High,High,0.9908644191749977,6.403999438204056e-05,0.009071540830620268
High,High,0.9543948867136495,0.00035725579520227697,0.04524785749114833
High,High,0.9437797196319276,0.00048254722091864975,0.05573773314715366
Medium,Medium,0.07995988623668203,0.07000149983146972,0.8500386139318482
Medium,Medium,0.07773695770696117,0.0314598299630365,0.8908032123300023
High,High,0.9998348264734239,1.82672979506894e-06,0.0001633467967810748
Low,Low,0.0001724885111873768,0.9571029155199879,0.042724595968824816
High,High,0.9973587358458451,7.4734121857173886e-06,0.0026337907419689615
High,High,0.9989113735376826,1.2479264399905372e-05,0.0010761471979176375
High,High,0.9281806345867293,0.00022620249275430633,0.07159316292051646
High,High,0.9971365334155843,2.5064875150026506e-05,0.002838401709265758
Low,Low,5.2497186997361556e-06,0.9984961171397815,0.001498633141518774
High,High,0.985025635034685,5.545217167884054e-05,0.014918912793636174
Low,Low,0.00021657055641553091,0.9685127028487969,0.031270726594787544
Low,Low,0.001259792387513943,0.8301102808738359,0.1686299267386501
High,High,0.9999157413473007,7.738626792292482e-07,8.348479002011182e-05
High,High,0.9523921288697531,0.00017019998859758756,0.04743767114164927
Medium,High,0.5612528843161207,0.010262238932929213,0.42848487675095004
High,High,0.9976626632087907,5.3275048337150266e-06,0.0023320092863756145
High,High,0.9928340622039089,3.5808426497162694e-05,0.007130129369593971
Medium,Medium,0.17901799652055592,0.040832673977420686,0.7801493295020233
High,High,0.9972171510354991,1.5736405003641555e-05,0.0027671125594973967
Low,Low,5.565829197946468e-06,0.9983732150422667,0.0016212191285354465
Low,Medium,0.16298019103565395,0.021390729898655054,0.8156290790656909
High,High,0.9991587069301379,1.7573018590939985e-05,0.0008237200512711918
High,High,0.9997349800888202,1.2085875203511822e-06,0.0002638113236592657
Medium,High,0.6680096928849623,0.0027069835765904846,0.32928332353844725
High,High,0.9980020695676202,9.151605223008953e-06,0.001988778827156865
High,High,0.9997076513444355,7.112865279079982e-07,0.00029163736903658344
High,High,0.8325225065673285,0.001313594707899511,0.16616389872477194
High,High,0.9996278376538376,3.0433820128829034e-06,0.0003691189641495372
High,High,0.9998245341364147,8.289319919657032e-07,0.00017463693159347065
Medium,High,0.8539726082252335,0.0009599169995427129,0.1450674747752238
Medium,High,0.9087399520937834,0.00043157628407038384,0.09082847162214619
High,High,0.9343590972921928,0.00013479481695722605,0.06550610789084998
High,High,0.9872259564524392,3.5175356391718635e-05,0.012738868191169195
High,High,0.9856331135266871,7.60444020683569e-05,0.014290842071244392
High,High,0.9995551770527622,2.0873907725735096e-06,0.00044273555646512564
High,High,0.9981146653335347,2.1410949298622807e-05,0.0018639237171666702
High,High,0.8551794295050744,0.0005149132142197967,0.14430565728070574
Low,Low,0.010331989533898682,0.7688016091683664,0.220866401297735
Low,Low,0.004298072403931858,0.5890779033741187,0.40662402422194943
Low,Low,0.00020088166958108925,0.9191924242518428,0.08060669407857605
High,High,0.9224173244337062,0.0005119857424627684,0.0770706898238311
