y_true,y_pred,proba_0,proba_1
1,1,0.34703777936659386,0.6529622206334061
1,1,0.3757700053793177,0.6242299946206823
0,1,0.369416155090583,0.630583844909417
1,1,0.3452095263371735,0.6547904736628265
0,1,0.358158924718629,0.641841075281371
0,1,0.32530173262907214,0.6746982673709279
1,1,0.3374170056079465,0.6625829943920535
1,1,0.36882636393288015,0.6311736360671198
0,1,0.42242303227973343,0.5775769677202666
1,1,0.3378438465039144,0.6621561534960856
1,1,0.3441917787380996,0.6558082212619004
1,1,0.4582284747774099,0.5417715252225901
1,1,0.33530312225008563,0.6646968777499144
1,1,0.3300784984709799,0.6699215015290201
1,1,0.3475702530970214,0.6524297469029786
0,1,0.36547520576645975,0.6345247942335402
0,1,0.3370429897671704,0.6629570102328296
1,1,0.3540747120766481,0.6459252879233519
0,1,0.3771022444836233,0.6228977555163767
1,1,0.3466649022981101,0.6533350977018899
1,1,0.3479898663638642,0.6520101336361358
0,1,0.3340445780862996,0.6659554219137004
1,1,0.3801719133802679,0.6198280866197321
1,1,0.3687014586712045,0.6312985413287955
1,1,0.3294435088396297,0.6705564911603703
1,1,0.30142893081099076,0.6985710691890092
1,1,0.35301660519424716,0.6469833948057528
0,1,0.37857424448160903,0.621425755518391
0,1,0.3810587744958175,0.6189412255041825
1,1,0.3704740078459944,0.6295259921540056
0,1,0.36988854772042246,0.6301114522795775
0,1,0.3336712079468911,0.6663287920531089
1,1,0.3616459775244071,0.6383540224755929
1,1,0.33760802709963267,0.6623919729003673
1,1,0.30416213253582314,0.6958378674641769
0,1,0.3615435956070818,0.6384564043929182
1,1,0.3399144694609503,0.6600855305390497
1,1,0.38925978276671414,0.6107402172332859
1,1,0.33184848447008486,0.6681515155299151
0,1,0.3792101770160391,0.6207898229839609
0,1,0.356605370650972,0.643394629349028
1,1,0.3460849430469437,0.6539150569530563
0,1,0.40178173848993626,0.5982182615100637
1,1,0.3624152524127374,0.6375847475872626
1,1,0.37542655537004377,0.6245734446299562
1,1,0.3859320817862467,0.6140679182137533
1,1,0.3351924801418896,0.6648075198581104
0,1,0.33363838275020485,0.6663616172497951
1,1,0.3082014541127821,0.6917985458872179
0,1,0.31951385573553204,0.680486144264468
0,1,0.33533658003665945,0.6646634199633406
1,1,0.34293744454404473,0.6570625554559553
1,1,0.34300013376489813,0.6569998662351019
0,1,0.34476793808249995,0.6552320619175
0,1,0.3544471847790216,0.6455528152209784
1,1,0.3606875419242972,0.6393124580757028
1,1,0.3571839060606318,0.6428160939393682
1,1,0.31045797717304724,0.6895420228269528
0,1,0.3493410954482432,0.6506589045517568
1,1,0.36124225754153483,0.6387577424584652
1,1,0.34129455167518397,0.658705448324816
1,1,0.3132640070432974,0.6867359929567026
1,1,0.3321690352864358,0.6678309647135642
1,1,0.3367087791346396,0.6632912208653604
0,1,0.3757621615605442,0.6242378384394558
0,1,0.3688984513766971,0.6311015486233029
1,1,0.38692500171811695,0.613074998281883
1,1,0.3245943059585523,0.6754056940414477
1,1,0.3732666162675081,0.6267333837324919
0,1,0.3027638042038381,0.6972361957961619
1,1,0.35801440647587246,0.6419855935241275
1,1,0.3394105707977183,0.6605894292022817
0,1,0.3616664668241405,0.6383335331758595
0,1,0.3815977552722577,0.6184022447277423
1,1,0.3577630551440666,0.6422369448559334
1,1,0.353958417734611,0.646041582265389
0,1,0.3396590693707443,0.6603409306292557
1,1,0.34749405923779986,0.6525059407622001
1,1,0.3008025951576385,0.6991974048423615
0,1,0.3489290629603857,0.6510709370396143
1,1,0.323545147817362,0.676454852182638
1,1,0.3514319402570426,0.6485680597429574
0,1,0.37523318822065466,0.6247668117793453
1,1,0.31176668861567003,0.68823331138433
0,1,0.37938640044588023,0.6206135995541198
1,1,0.34096492897312625,0.6590350710268738
0,1,0.3300175251082983,0.6699824748917017
0,1,0.36372275983374636,0.6362772401662536
1,1,0.3526342824127695,0.6473657175872305
1,1,0.30627527472052196,0.693724725279478
0,1,0.36017931149672455,0.6398206885032754
0,1,0.3205741908761591,0.6794258091238409
1,1,0.3406136036860089,0.6593863963139911
1,1,0.36999737409766964,0.6300026259023304
1,1,0.3521705812808904,0.6478294187191096
1,1,0.39185587971231517,0.6081441202876848
1,1,0.37324445897823455,0.6267555410217654
0,1,0.3769488159124891,0.6230511840875109
1,1,0.3124049699723619,0.6875950300276381
1,1,0.35808547258395584,0.6419145274160442
1,1,0.35148955364518486,0.6485104463548151
1,1,0.3094630960183683,0.6905369039816317
0,1,0.3320487891874224,0.6679512108125776
1,1,0.31554701112813677,0.6844529888718632
0,1,0.3336449450569331,0.6663550549430669
1,1,0.3450032764780202,0.6549967235219798
1,1,0.3446573376666725,0.6553426623333275
1,1,0.36464038312953195,0.635359616870468
1,1,0.42442144996639397,0.575578550033606
0,1,0.34740944078915226,0.6525905592108477
1,1,0.34375631016345787,0.6562436898365421
1,1,0.3427987693795538,0.6572012306204462
1,1,0.3598157487235596,0.6401842512764404
1,1,0.3435876831977632,0.6564123168022368
0,1,0.34002401114579117,0.6599759888542088
0,1,0.34727338736041613,0.6527266126395839
1,1,0.3603342492483209,0.6396657507516791
1,1,0.3438319620888337,0.6561680379111663
1,1,0.3302305536506732,0.6697694463493268
1,1,0.3788824849999948,0.6211175150000052
1,1,0.3410772909161278,0.6589227090838722
0,1,0.3491333069425454,0.6508666930574546
1,1,0.34977767775275237,0.6502223222472476
0,1,0.3351469614971887,0.6648530385028113
0,1,0.28775626444512103,0.712243735554879
0,1,0.354898775478778,0.645101224521222
0,1,0.3352016987852846,0.6647983012147154
1,1,0.36083178648510916,0.6391682135148908
1,1,0.3339485808363839,0.6660514191636161
0,1,0.337903386966406,0.662096613033594
1,1,0.3417142602497384,0.6582857397502616
0,1,0.3590274155139811,0.6409725844860189
1,1,0.41716061005539606,0.5828393899446039
0,1,0.3462484289622385,0.6537515710377615
1,1,0.33396364801335654,0.6660363519866435
0,1,0.34249673238563716,0.6575032676143628
