feature,importance
knowledge_anxiety_gap,21.681571312423515
green_tech_score,20.02803410593024
battery_replacement_concern,9.683200442202564
charging_station_accessibility,9.235655064606878
government_incentive_awareness,7.644184486290289
charging_convenience,5.426244211429092
home_charging_available,4.8737617788223275
previous_ev_experience,3.7406092675760805
environmental_awareness_score,2.2188259740760454
range_anxiety_score,1.980409565000044
ev_knowledge_score,1.8255826071888845
technology_affinity_score,1.5171144735191724
nearest_charging_station_km,1.0382197889913345
travel_consistency,0.8935731362501391
annual_income,0.8559112708151384
vehicle_age_years,0.8299938154701744
age,0.6726500895947923
replace_tendency,0.6705179019373729
monthly_energy_consumption_kwh,0.6269836716697625
electricity_cost_per_kwh,0.6179416619845167
monthly_charging_cost,0.5775791942115411
ev_cost_ratio,0.5479657095372535
current_vehicle_type,0.4303208261781225
daily_commute_km,0.422426431244112
weekly_travel_distance_km,0.4158590983140408
fuel_burden_ratio,0.41467393665113733
fuel_expense_per_month,0.3444255988183002
city_type,0.2742086340608557
edu_ord,0.17138898168453914
ln_income,0.10122157071508212
ev_knowledge_score_ms,0.07123489727839859
ln_fuel,0.04895816388038633
education_level,0.048844295669135875
charging_station_accessibili_ms,0.034907214549100125
monthly_disposable_income,0.026759790648072136
education_level_missing,0.008159414168347857
fuel_expense_invalid,8.161661322113e-05
task3_anxiety_label,0.0
annual_income_ms,0.0
daily_commute_km_ms,0.0
