feature,importance
environmental_awareness_score,53.534912090767726
technology_affinity_score,31.363996084559062
annual_income,1.4340536871342577
ln_income,1.3936910544956744
ev_knowledge_score,1.00907261637748
government_incentive_awareness,0.9397702570607948
long_distance_ratio,0.6980946275812234
nearest_charging_station_km,0.6326516580064129
age,0.6250349009686329
vehicle_age_years,0.6017290340545997
charging_station_accessibility,0.5906853319616008
knowledge_buffer,0.571591308444783
battery_replacement_concern,0.5382585996078549
charging_difficulty,0.5314506956005408
electricity_cost_per_kwh,0.4719911111784428
fuel_expense_per_month,0.4489896160015505
extra_travel_intensity,0.43885024522301497
monthly_charging_cost,0.43870480178136884
daily_commute_km,0.4133252165653129
edu_ord,0.3864213710003065
ln_fuel,0.3367240993573328
city_type,0.3350100204298429
weekly_travel_distance_km,0.33398753373896095
daily_travel_approx,0.3236083767669049
monthly_energy_consumption_kwh,0.3218804894277645
home_charging_buffer,0.32111702375869017
current_vehicle_type,0.2935792021757134
education_level,0.2897272911649563
previous_ev_experience,0.20292244023063477
home_charging_available,0.08941309276704662
education_level_missing,0.02920041214430063
high_mileage_low_convenience,0.024493590053828892
charging_station_accessibili_ms,0.016030847827915685
ev_knowledge_score_ms,0.011517211001332274
fuel_expense_invalid,0.007514060784103402
annual_income_ms,0.0
daily_commute_km_ms,0.0
